trial,sc,dc,latency
0,2,0,2073
1,2,0,11618
2,2,0,20221
3,2,0,10433
4,2,0,5808
5,2,0,19583
6,2,0,10786
7,2,0,8640
8,2,0,12599
9,2,0,18658
10,2,0,17150
11,2,0,8418
12,2,0,11322
13,2,0,15004
14,2,0,16678
15,2,0,31996
16,2,0,5874
17,2,0,12192
18,2,0,15744
19,2,0,7530
20,2,0,9454
21,2,0,17446
22,2,0,8418
23,2,0,41607
24,2,0,18704
25,2,0,10923
26,2,0,11249
27,2,0,8030
28,2,0,15948
29,2,0,10359
30,2,0,17964
31,2,0,16308
32,2,0,7502
33,2,0,6235
34,2,0,11563
35,2,0,8529
36,2,0,15337
37,2,0,8899
38,2,0,12765
39,2,0,9916
40,2,0,16807
41,2,0,18343
42,2,0,33134
43,2,0,16484
44,2,0,35502
45,2,0,15948
46,2,0,15781
47,2,0,12137
48,2,0,12579
49,2,0,7473
50,2,0,13487
51,2,0,6013
52,2,0,7493
53,2,0,17039
54,2,0,9084
55,2,0,11785
56,2,0,68468
57,2,0,35558
58,2,0,19453
59,2,0,12867
60,2,0,9750
61,2,0,33634
62,2,0,18943
63,2,0,8139
64,2,0,28879
65,2,0,10971
66,2,0,10766
67,2,0,19203
68,2,0,8103
69,2,0,27343
70,2,0,6845
71,2,0,9768
72,2,0,35761
73,2,0,11415
74,2,0,11452
75,2,0,29119
76,2,0,16243
77,2,0,29443
78,2,0,19185
79,2,0,20739
80,2,0,11748
81,2,0,31802
82,2,0,11156
83,2,0,16891
84,2,0,33218
85,2,0,6679
86,2,0,15485
87,2,0,8529
88,2,0,32172
89,2,0,32431
90,2,0,33097
91,2,0,11248
92,2,0,6836
93,2,0,16318
94,2,0,15133
95,2,0,14227
96,2,0,9010
97,2,0,15448
98,2,0,8843
99,2,0,9278
0,2,1,8176
1,2,1,77107
2,2,1,4294964668
3,2,1,20275
4,2,1,77181
5,2,1,67080
6,2,1,19387
7,2,1,8213
8,2,1,24347
9,2,1,4071
10,2,1,3442
11,2,1,4294965780
12,2,1,5958
13,2,1,7881
14,2,1,99188
15,2,1,31330
16,2,1,3765
17,2,1,32107
18,2,1,4294965437
19,2,1,10573
20,2,1,15531
21,2,1,19268
22,2,1,28
23,2,1,14347
24,2,1,4283
25,2,1,52605
26,2,1,9796
27,2,1,6244
28,2,1,18676
29,2,1,4294965326
30,2,1,74028
31,2,1,5726
32,2,1,8945
33,2,1,10129
34,2,1,7317
35,2,1,7946
36,2,1,3617
37,2,1,87356
38,2,1,9545
39,2,1,102629
40,2,1,4294966991
41,2,1,80965
42,2,1,19083
43,2,1,18824
44,2,1,2544
45,2,1,80688
46,2,1,18047
47,2,1,17122
48,2,1,9167
49,2,1,81576
50,2,1,76174
51,2,1,17196
52,2,1,78912
53,2,1,7206
54,2,1,9537
55,2,1,5097
56,2,1,7280
57,2,1,104405
58,2,1,7169
59,2,1,10203
60,2,1,18861
61,2,1,75693
62,2,1,3025
63,2,1,12275
64,2,1,10314
65,2,1,6503
66,2,1,7095
67,2,1,4294966769
68,2,1,3432
69,2,1,13496
70,2,1,11054
71,2,1,6355
72,2,1,7946
73,2,1,19305
74,2,1,73658
75,2,1,4875
76,2,1,67257
77,2,1,7909
78,2,1,9167
79,2,1,15457
80,2,1,10610
81,2,1,4283
82,2,1,85979
83,2,1,5356
84,2,1,83426
85,2,1,83167
86,2,1,75952
87,2,1,78394
88,2,1,77025
89,2,1,79171
90,2,1,7613
91,2,1,7132
92,2,1,75767
93,2,1,81576
94,2,1,2840
95,2,1,443732
96,2,1,74768
97,2,1,472
98,2,1,74324
99,2,1,10582
0,2,3,6587
1,2,3,41404
2,2,3,7142
3,2,3,371
4,2,3,14875
5,2,3,20980
6,2,3,16614
7,2,3,16318
8,2,3,18501
9,2,3,7734
10,2,3,4848
11,2,3,9362
12,2,3,9158
13,2,3,8696
14,2,3,83362
15,2,3,9491
16,2,3,79070
17,2,3,82326
18,2,3,22404
19,2,3,76276
20,2,3,8955
21,2,3,67211
22,2,3,74742
23,2,3,19242
24,2,3,15505
25,2,3,13174
26,2,3,11173
27,2,3,80104
28,2,3,79919
29,2,3,73074
30,2,3,72852
31,2,3,83194
32,2,3,9138
33,2,3,72371
34,2,3,3847
35,2,3,3440
36,2,3,76219
37,2,3,76330
38,2,3,78328
39,2,3,8657
40,2,3,74998
41,2,3,8621
42,2,3,75517
43,2,3,8436
44,2,3,7067
45,2,3,10545
46,2,3,17168
47,2,3,8621
48,2,3,72372
49,2,3,71484
50,2,3,65194
51,2,3,88615
52,2,3,10730
53,2,3,72594
54,2,3,86580
55,2,3,22089
56,2,3,5994
57,2,3,6105
58,2,3,18574
59,2,3,56166
60,2,3,7141
61,2,3,7585
62,2,3,13616
63,2,3,6956
64,2,3,4294965557
65,2,3,93166
66,2,3,3293
67,2,3,4292
68,2,3,7992
69,2,3,16724
70,2,3,67340
71,2,3,70781
72,2,3,74259
73,2,3,15799
74,2,3,23236
75,2,3,4736
76,2,3,43956
77,2,3,7363
78,2,3,23273
79,2,3,11988
80,2,3,12024
81,2,3,72778
